,winner,loser,weight_class,event
0,Jos\xc3\xa9 Aldo (c),Chad Mendes,Featherweight,UFC_on_Fox_Evans_vs_Davis
1,Welterweight,def.,[a],UFC_on_Fox_Evans_vs_Davis
2,[b],Benson Henderson,UFC 143,UFC_on_Fox_Evans_vs_Davis
3,UFC 144,Light Heavyweight,5:00,UFC_on_Fox_Evans_vs_Davis
4,5:00,[d],5,UFC_on_Fox_Evans_vs_Davis
5,2,UFC 146,TKO (punches),UFC_on_Fox_Evans_vs_Davis
6,TKO (knee and punches),1:55,Chael Sonnen,UFC_on_Fox_Evans_vs_Davis
7,Urijah Faber,5,def.,UFC_on_Fox_Evans_vs_Davis
8,def.,"Decision (split) (48\xe2\x80\x9347, 48\xe2\x80\x9347, 46\xe2\x80\x9349)",Benson Henderson (c),UFC_on_Fox_Evans_vs_Davis
9,Demetrious Johnson,Joseph Benavidez,Flyweight,UFC_on_Fox_Evans_vs_Davis
10,Light Heavyweight,def.,[i],UFC_on_Fox_Evans_vs_Davis
11,[j],Georges St-Pierre (c),UFC 152,UFC_on_Fox_Evans_vs_Davis
12,UFC 154,Lightweight,5:00,UFC_on_Fox_Evans_vs_Davis
13,5:00,[l],5,UFC_on_Fox_Evans_vs_Davis
14,5,UFC 155,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9343, 50\xe2\x80\x9344)",UFC_on_Fox_Evans_vs_Davis
15,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9345, 50\xe2\x80\x9345)",5:00,Phil Davis,UFC_on_Fox_Evans_vs_Davis
16,"Decision (unanimous) (30\xe2\x80\x9327, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Michael Bisping,UFC_on_Fox_Evans_vs_Davis
17,"Decision (unanimous) (29\xe2\x80\x9328, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Demian Maia,UFC_on_Fox_Evans_vs_Davis
18,TKO (doctor stoppage),5:00,Nik Lentz,UFC_on_Fox_Evans_vs_Davis
19,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 30\xe2\x80\x9327)",5:00,John-Olav Einemo,UFC_on_Fox_Evans_vs_Davis
20,TKO (punches),2:22,George Roop,UFC_on_Fox_Evans_vs_Davis
21,Submission (reverse calf slicer),1:43,Eric Wisely,UFC_on_Fox_Evans_vs_Davis
22,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Shane Roller,UFC_on_Fox_Evans_vs_Davis
23,KO (punches),4:24,Joey Beltran,UFC_on_Fox_Evans_vs_Davis
24,Submission (guillotine choke),1:08,Dustin Jacoby,UFC_on_Fox_Evans_vs_Davis
25,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Diego Sanchez,UFC_on_Fox_Evans_vs_Davis
26,TKO (punches),3:52,Dave Herman,UFC_on_Fox_Evans_vs_Davis
