,winner,loser,weight_class,event
0,Demetrious Johnson (c),John Dodson,Flyweight,UFC_on_Fox_Henderson_vs_Melendez
1,Featherweight,def.,[a],UFC_on_Fox_Henderson_vs_Melendez
2,[b],Renan Bar\xc3\xa3o (ic),UFC 156,UFC_on_Fox_Henderson_vs_Melendez
3,UFC on Fuel TV 7,Women\'s Bantamweight,3:57,UFC_on_Fox_Henderson_vs_Melendez
4,4:49,[c],1,UFC_on_Fox_Henderson_vs_Melendez
5,5,UFC 158,"Decision (unanimous) (50\xe2\x80\x9345, 50\xe2\x80\x9345, 50\xe2\x80\x9345)",UFC_on_Fox_Henderson_vs_Melendez
6,"Decision (split) (47\xe2\x80\x9348, 48\xe2\x80\x9347, 48\xe2\x80\x9347)",5:00,Gilbert Melendez,UFC_on_Fox_Henderson_vs_Melendez
7,Chael Sonnen,1,def.,UFC_on_Fox_Henderson_vs_Melendez
8,def.,TKO (punches),Cain Velasquez (c),UFC_on_Fox_Henderson_vs_Melendez
9,Chris Weidman,Anderson Silva (c),Middleweight,UFC_on_Fox_Henderson_vs_Melendez
10,Flyweight,def.,[g],UFC_on_Fox_Henderson_vs_Melendez
11,[h],Jos\xc3\xa9 Aldo (c),UFC on Fox 8,UFC_on_Fox_Henderson_vs_Melendez
12,UFC 163,Lightweight,2:00,UFC_on_Fox_Henderson_vs_Melendez
13,4:31,[j],1,UFC_on_Fox_Henderson_vs_Melendez
14,2,UFC 165,TKO (spinning back kick and punches),UFC_on_Fox_Henderson_vs_Melendez
15,"Decision (unanimous) (48\xe2\x80\x9347, 48\xe2\x80\x9347, 49\xe2\x80\x9346)",5:00,Alexander Gustafsson,UFC_on_Fox_Henderson_vs_Melendez
16,Junior dos Santos,5,def.,UFC_on_Fox_Henderson_vs_Melendez
17,def.,"Decision (split) (48\xe2\x80\x9347, 47\xe2\x80\x9348, 48\xe2\x80\x9347)",Georges St-Pierre (c),UFC_on_Fox_Henderson_vs_Melendez
18,Demetrious Johnson (c),Joseph Benavidez,Flyweight,UFC_on_Fox_Henderson_vs_Melendez
19,Women\'s Bantamweight,def.,[o],UFC_on_Fox_Henderson_vs_Melendez
20,[p],Chris Weidman (c),UFC 168,UFC_on_Fox_Henderson_vs_Melendez
21,UFC 168,Middleweight,1:16,UFC_on_Fox_Henderson_vs_Melendez
22,1:27,Middleweight,2,UFC_on_Fox_Henderson_vs_Melendez
23,5:00,Heavyweight,3,UFC_on_Fox_Henderson_vs_Melendez
24,1:01,Lightweight,2,UFC_on_Fox_Henderson_vs_Melendez
25,1:55,Featherweight,1,UFC_on_Fox_Henderson_vs_Melendez
26,5:00,Middleweight,3,UFC_on_Fox_Henderson_vs_Melendez
27,5:00,Featherweight,3,UFC_on_Fox_Henderson_vs_Melendez
28,5:00,Lightweight,3,UFC_on_Fox_Henderson_vs_Melendez
29,2:38,Bantamweight,1,UFC_on_Fox_Henderson_vs_Melendez
30,2:11,Light Heavyweight,1,UFC_on_Fox_Henderson_vs_Melendez
31,2:39,Lightweight,2,UFC_on_Fox_Henderson_vs_Melendez
32,1:50,Lightweight,2,UFC_on_Fox_Henderson_vs_Melendez
33,5:00,Heavyweight,5,UFC_on_Fox_Henderson_vs_Melendez
34,5:00,Lightweight,3,UFC_on_Fox_Henderson_vs_Melendez
35,3:44,Welterweight,2,UFC_on_Fox_Henderson_vs_Melendez
36,1:00,Featherweight,2,UFC_on_Fox_Henderson_vs_Melendez
37,1:08,Middleweight,1,UFC_on_Fox_Henderson_vs_Melendez
38,5:00,Lightweight,3,UFC_on_Fox_Henderson_vs_Melendez
39,1:02,Flyweight,2,UFC_on_Fox_Henderson_vs_Melendez
40,4:50,Lightweight,2,UFC_on_Fox_Henderson_vs_Melendez
41,5:00,Bantamweight,3,UFC_on_Fox_Henderson_vs_Melendez
42,4:22,Lightweight,1,UFC_on_Fox_Henderson_vs_Melendez
43,2:52,Middleweight,2,UFC_on_Fox_Henderson_vs_Melendez
